gwtportlets(27),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
18,0.3333333333333333,0.07407407407407407,0.37037037037037035,0.4074074074074074,0.4074074074074074,0.2962962962962963,0.4444444444444444,0.37037037037037035,0.4074074074074074,0.4444444444444444,0.4444444444444444,0.4074074074074074
19,0.37037037037037035,0.07407407407407407,0.37037037037037035,0.4074074074074074,0.4074074074074074,0.2962962962962963,0.48148148148148145,0.4074074074074074,0.4074074074074074,0.4444444444444444,0.4444444444444444,0.4074074074074074
20,0.37037037037037035,0.07407407407407407,0.37037037037037035,0.4074074074074074,0.4074074074074074,0.2962962962962963,0.5185185185185185,0.4074074074074074,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
21,0.37037037037037035,0.07407407407407407,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.3333333333333333,0.5185185185185185,0.4444444444444444,0.48148148148148145,0.4444444444444444,0.48148148148148145,0.48148148148148145
22,0.4074074074074074,0.07407407407407407,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.3333333333333333,0.5185185185185185,0.48148148148148145,0.48148148148148145,0.4444444444444444,0.48148148148148145,0.48148148148148145
23,0.4074074074074074,0.07407407407407407,0.4074074074074074,0.4444444444444444,0.4444444444444444,0.4074074074074074,0.5185185185185185,0.5185185185185185,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5185185185185185
24,0.4074074074074074,0.07407407407407407,0.4074074074074074,0.4444444444444444,0.4444444444444444,0.4074074074074074,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.48148148148148145,0.5555555555555556
25,0.4074074074074074,0.1111111111111111,0.4074074074074074,0.48148148148148145,0.48148148148148145,0.4074074074074074,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5555555555555556,0.48148148148148145,0.5555555555555556
26,0.5185185185185185,0.1111111111111111,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.4074074074074074,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5555555555555556,0.48148148148148145,0.5925925925925926
27,0.5185185185185185,0.1111111111111111,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.4074074074074074,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5555555555555556,0.48148148148148145,0.5925925925925926
28,0.5185185185185185,0.1111111111111111,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.4444444444444444,0.5925925925925926,0.5555555555555556,0.5185185185185185,0.5925925925925926,0.48148148148148145,0.5925925925925926
29,0.5185185185185185,0.1111111111111111,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.6296296296296297,0.5555555555555556,0.5185185185185185,0.5925925925925926,0.5185185185185185,0.5925925925925926
