Threshold,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-1.0,BiMo-0.85
top-16,0.370370358,0.370370358,0.370370358,0.407407403,0.407407403,0.407407403,0.407407403,0.407407403,0.407407403,0.407407403,0.407407403,0.444444448,0.444444448,0.444444448,0.481481493,0.481481493,0.518518507,0.481481493,0.481481493,0.481481493
top-17,0.370370358,0.407407403,0.407407403,0.407407403,0.407407403,0.407407403,0.407407403,0.444444448,0.444444448,0.444444448,0.444444448,0.444444448,0.444444448,0.444444448,0.481481493,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507
top-18,0.407407403,0.407407403,0.407407403,0.407407403,0.407407403,0.407407403,0.444444448,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507
top-19,0.407407403,0.444444448,0.444444448,0.444444448,0.444444448,0.444444448,0.444444448,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.555555582
top-20,0.444444448,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.518518507,0.518518507,0.555555582,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582
top-21,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.518518507,0.481481493,0.481481493,0.481481493,0.481481493,0.518518507,0.518518507,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582
top-22,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493,0.518518507,0.518518507,0.518518507,0.518518507,0.481481493,0.481481493,0.518518507,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582
top-23,0.481481493,0.481481493,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582
top-24,0.481481493,0.481481493,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.555555582,0.518518507,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582
top-25,0.481481493,0.481481493,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582
top-26,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.592592597,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582
top-27,0.518518507,0.518518507,0.518518507,0.518518507,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.592592597,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582
top-28,0.555555582,0.518518507,0.518518507,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.592592597,0.592592597,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582
top-29,0.555555582,0.555555582,0.518518507,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.592592597,0.592592597,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.592592597
top-30,0.592592597,0.555555582,0.518518507,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.592592597,0.592592597,0.592592597,0.592592597,0.592592597,0.592592597,0.555555582,0.555555582,0.555555582,0.555555582,0.592592597
top-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668
top-2,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.041666668,0.083333336,0.083333336,0.083333336,0.083333336
top-3,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.125,0.125
top-4,0.083333336,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.166666672,0.166666672
top-5,0.125,0.125,0.125,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.208333328,0.166666672
top-6,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.166666672,0.208333328,0.208333328
top-7,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.208333328,0.25,0.25,0.25,0.25,0.25,0.25,0.208333328,0.208333328,0.208333328,0.208333328,0.25,0.208333328
top-8,0.208333328,0.208333328,0.208333328,0.208333328,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.291666657,0.25
top-9,0.208333328,0.208333328,0.208333328,0.25,0.25,0.25,0.25,0.291666657,0.25,0.25,0.25,0.25,0.25,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.333333343,0.291666657
top-10,0.208333328,0.208333328,0.208333328,0.25,0.25,0.25,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.333333343,0.333333343,0.375,0.333333343
top-11,0.208333328,0.208333328,0.25,0.25,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.416666657,0.375
top-12,0.25,0.25,0.25,0.25,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.375,0.458333343,0.375
top-13,0.25,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.375,0.375,0.5,0.375
top-14,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.375,0.375,0.5,0.416666657
top-15,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.375,0.375,0.375,0.416666657,0.5,0.416666657
top-16,0.291666657,0.333333343,0.291666657,0.291666657,0.291666657,0.291666657,0.291666657,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.375,0.375,0.375,0.416666657,0.416666657,0.5,0.458333343
top-17,0.291666657,0.375,0.333333343,0.291666657,0.333333343,0.291666657,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.375,0.375,0.375,0.416666657,0.416666657,0.5,0.5
top-18,0.333333343,0.375,0.375,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.375,0.375,0.375,0.416666657,0.458333343,0.5,0.5
top-19,0.333333343,0.375,0.375,0.375,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.375,0.375,0.375,0.375,0.375,0.375,0.416666657,0.458333343,0.5,0.5
top-20,0.333333343,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.416666657,0.416666657,0.416666657,0.416666657,0.416666657,0.458333343,0.5,0.5,0.541666687
top-21,0.375,0.375,0.375,0.375,0.375,0.416666657,0.416666657,0.416666657,0.416666657,0.416666657,0.416666657,0.416666657,0.416666657,0.416666657,0.458333343,0.458333343,0.458333343,0.5,0.5,0.541666687
top-22,0.375,0.375,0.375,0.375,0.375,0.416666657,0.416666657,0.416666657,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.5,0.5,0.5,0.541666687
top-23,0.375,0.375,0.375,0.375,0.416666657,0.416666657,0.416666657,0.416666657,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.5,0.5,0.541666687,0.541666687,0.5,0.541666687
top-24,0.416666657,0.375,0.375,0.375,0.416666657,0.416666657,0.416666657,0.416666657,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.5,0.5,0.541666687,0.541666687,0.541666687,0.5,0.541666687
top-25,0.416666657,0.375,0.375,0.416666657,0.416666657,0.416666657,0.416666657,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.5,0.541666687,0.541666687,0.541666687,0.541666687,0.5,0.541666687
top-26,0.416666657,0.416666657,0.416666657,0.416666657,0.416666657,0.416666657,0.416666657,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.5,0.541666687,0.541666687,0.583333313,0.541666687,0.5,0.541666687
top-27,0.416666657,0.416666657,0.458333343,0.416666657,0.416666657,0.416666657,0.416666657,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.5,0.5,0.541666687,0.583333313,0.583333313,0.583333313,0.5,0.541666687
top-28,0.416666657,0.458333343,0.458333343,0.416666657,0.416666657,0.416666657,0.416666657,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.5,0.5,0.541666687,0.583333313,0.583333313,0.583333313,0.5,0.541666687
top-29,0.458333343,0.458333343,0.458333343,0.416666657,0.416666657,0.416666657,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.5,0.5,0.541666687,0.583333313,0.583333313,0.583333313,0.5,0.541666687
top-30,0.458333343,0.458333343,0.458333343,0.458333343,0.416666657,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.458333343,0.5,0.5,0.541666687,0.583333313,0.583333313,0.583333313,0.5,0.583333313
top-1,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0,0,0,0,0,0,0
top-2,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0,0,0,0,0
top-3,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0,0,0,0,0
top-4,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0,0,0,0,0
top-5,0.166666672,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0,0,0,0
top-6,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0,0
top-7,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0,0.083333336
top-8,0.25,0.25,0.25,0.25,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.083333336,0,0.083333336
top-9,0.25,0.25,0.25,0.25,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0,0.166666672
top-10,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0,0.166666672
top-11,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0,0.166666672
