ant_main(10),TSPrideWithMotifCoreness_new_lsi,TSPrideWithMotifCoreness_new_jsd,TSPrideWithMotifCoreness_new_vsm
29,0.9166666666666666,0.8333333333333334,0.8333333333333334
30,0.9166666666666666,0.8333333333333334,0.8333333333333334
1,0.037037037037037035,0.037037037037037035,0.037037037037037035
2,0.07407407407407407,0.07407407407407407,0.07407407407407407
3,0.1111111111111111,0.1111111111111111,0.1111111111111111
4,0.1111111111111111,0.1111111111111111,0.1111111111111111
5,0.14814814814814814,0.14814814814814814,0.14814814814814814
6,0.18518518518518517,0.18518518518518517,0.18518518518518517
7,0.2222222222222222,0.2222222222222222,0.18518518518518517
8,0.25925925925925924,0.25925925925925924,0.2222222222222222
9,0.25925925925925924,0.25925925925925924,0.25925925925925924
10,0.2962962962962963,0.2962962962962963,0.2962962962962963
11,0.3333333333333333,0.3333333333333333,0.3333333333333333
12,0.37037037037037035,0.37037037037037035,0.37037037037037035
13,0.4074074074074074,0.4074074074074074,0.4074074074074074
14,0.4074074074074074,0.4074074074074074,0.4074074074074074
15,0.4074074074074074,0.4074074074074074,0.4074074074074074
16,0.4074074074074074,0.4074074074074074,0.4074074074074074
17,0.4074074074074074,0.4074074074074074,0.4074074074074074
18,0.4074074074074074,0.4074074074074074,0.4444444444444444
19,0.4074074074074074,0.4074074074074074,0.4444444444444444
20,0.4444444444444444,0.4444444444444444,0.48148148148148145
21,0.48148148148148145,0.48148148148148145,0.5185185185185185
22,0.5185185185185185,0.5185185185185185,0.5185185185185185
23,0.5555555555555556,0.5555555555555556,0.5185185185185185
24,0.5555555555555556,0.5555555555555556,0.5555555555555556
25,0.5925925925925926,0.5925925925925926,0.5925925925925926
26,0.5925925925925926,0.5925925925925926,0.5925925925925926
27,0.5925925925925926,0.5925925925925926,0.5925925925925926
28,0.5925925925925926,0.5925925925925926,0.5925925925925926
29,0.5925925925925926,0.5925925925925926,0.5925925925925926
30,0.5925925925925926,0.5925925925925926,0.6296296296296297
1,0.017543859649122806,0.0,0.017543859649122806
2,0.017543859649122806,0.017543859649122806,0.017543859649122806
3,0.017543859649122806,0.017543859649122806,0.017543859649122806
4,0.017543859649122806,0.017543859649122806,0.017543859649122806
5,0.03508771929824561,0.03508771929824561,0.03508771929824561
6,0.03508771929824561,0.03508771929824561,0.03508771929824561
7,0.03508771929824561,0.03508771929824561,0.03508771929824561
8,0.03508771929824561,0.03508771929824561,0.03508771929824561
9,0.03508771929824561,0.03508771929824561,0.03508771929824561
10,0.05263157894736842,0.05263157894736842,0.05263157894736842
11,0.07017543859649122,0.07017543859649122,0.07017543859649122
12,0.08771929824561403,0.08771929824561403,0.08771929824561403
13,0.08771929824561403,0.08771929824561403,0.08771929824561403
14,0.10526315789473684,0.10526315789473684,0.10526315789473684
15,0.12280701754385964,0.12280701754385964,0.12280701754385964
16,0.14035087719298245,0.14035087719298245,0.14035087719298245
17,0.15789473684210525,0.15789473684210525,0.15789473684210525
18,0.17543859649122806,0.17543859649122806,0.17543859649122806
