ant_main(10),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
11%=0.12,0.3157894736842105,0.2280701754385964,0.3333333333333333
12%=0.13,0.3157894736842105,0.2280701754385964,0.3333333333333333
13%=0.14,0.3508771929824561,0.3333333333333333,0.3508771929824561
15%=0.15,0.3859649122807017,0.3333333333333333,0.3859649122807017
1%=0.01,0.5714285714285714,0.5714285714285714,0.5714285714285714
1%=0.02,0.8571428571428571,0.8571428571428571,0.8571428571428571
3%=0.03,0.8571428571428571,0.8571428571428571,0.8571428571428571
3%=0.04,1.0,1.0,1.0
5%=0.05,1.0,1.0,1.0
5%=0.06,1.0,1.0,1.0
6%=0.07,1.0,1.0,1.0
7%=0.08,1.0,1.0,1.0
