Absolute Classe Path,P1,P2,P3,P4,P5,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\oss\QiNiuUtil.java,46,51,33,54,29,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\MyMetaObjectHandler.java,151,146,120,173,141,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\MybatisPlusConfig.java,75,54,49,65,55,,
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallSysConfigMapper.java,36,18,22,48,32,,
trymall\trymall-api\src\main\java\com\linfeng\api\ApiApplication.java,82,66,70,87,77,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\CorsConfig.java,65,51,51,65,61,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\InterceptorConfig.java,43,37,29,51,45,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\ValidatorConfiguration.java,48,31,24,52,20,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\AuthController.java,221,219,242,227,238,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallAdminController.java,70,71,57,69,59,,
trymall\trymall-api\src\main\java\com\linfeng\api\intercepter\AdminAuthCheck.java,217,253,201,214,207,,
trymall\trymall-api\src\main\java\com\linfeng\api\intercepter\AuthCheckInterceptor.java,242,202,198,242,218,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\config\RedisConfig.java,228,222,240,262,243,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\BrandServiceImpl.java,57,47,39,67,42,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\QiNiuServiceImpl.java,69,63,55,66,65,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\SystemConfigServiceImpl.java,40,33,33,50,50,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallIssueServiceImpl.java,54,47,41,48,29,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSearchhistoryServiceImpl.java,63,44,39,45,41,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSysConfigServiceImpl.java,48,55,42,49,27,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSystemMessageServiceImpl.java,47,23,29,35,33,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\jwt\JwtToken.java,141,128,118,147,118,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\ThrowableUtil.java,59,27,28,65,43,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestBrandService.java,41,27,25,29,18,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestIssueService.java,45,44,31,40,33,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestSearchService.java,33,38,30,41,32,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestSystemConfigService.java,28,21,16,27,32,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\system\SystemConfig.java,55,41,29,47,17,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallAdmin.java,47,28,23,34,17,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallIssue.java,33,15,10,24,19,,
trymall\trymall-common\src\main\java\com\linfeng\common\enums\SmsTypeEnum.java,56,34,30,56,26,,
trymall\trymall-common\src\main\java\com\linfeng\common\generation\CodeGeneration.java,92,89,78,98,93,,
trymall\trymall-common\src\main\java\com\linfeng\common\response\ApiCode.java,113,86,80,122,76,,
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallBannerMapper.java,50,36,31,35,24,,
,9745,8308,7799,9736,8255,,
,,,,,8768.6,avg per class,79.71454545
,,,,,2.435722222,,
,,,,,median,49,
