jmeter_core(14),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
17,0.2857142857142857,0.0,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.35714285714285715
18,0.2857142857142857,0.0,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.35714285714285715
19,0.2857142857142857,0.0,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.35714285714285715
20,0.2857142857142857,0.0,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.35714285714285715
21,0.42857142857142855,0.0,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.5,0.35714285714285715
22,0.42857142857142855,0.0,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.5,0.35714285714285715
23,0.42857142857142855,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.5,0.35714285714285715
24,0.42857142857142855,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.5,0.35714285714285715
25,0.42857142857142855,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.5,0.42857142857142855
26,0.42857142857142855,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.5714285714285714,0.42857142857142855
27,0.42857142857142855,0.0,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.5714285714285714,0.42857142857142855
